link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/122b048d-585e-4c63-8275-c23949576fd6+d7a764a7-a397-4c5e-98a3-0a69c9406011,DAMIAN LILLARD,"3 Pointer - Jan 7 2021, Seeing Stars (Series 2), POR",Common,#/10000LE,$266.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+59770a29-6764-45e2-96d7-682ba3ae5cd5,LARRY NANCE JR.,"Dunk - Jan 22 2021, Base Set (Series 2), CLE",Common,#/35000+CC,$7.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+cf1de8f9-ceb8-40c3-82ee-422dc890d3ae,JORDAN CLARKSON,"Dunk - Dec 28 2020, Base Set (Series 2), UTA",Common,#/15000LE,$23.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+da63b0c8-1a33-4392-b060-3aef4d8e156a,MALCOLM BROGDON,"3 Pointer - Jan 25 2021, Base Set (Series 2), IND",Common,#/35000+CC,$6.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3bd9a4c8-9ed3-4ea7-9938-b449fcc905c5,JULIUS RANDLE,"Layup - Jan 4 2021, Base Set (Series 2), NYK",Common,#/35000+CC,$9.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5d438eb8-0386-43f1-be4c-ec89d9cea8d8,KENDRICK NUNN,"Dunk - Dec 30 2020, Base Set (Series 2), MIA",Common,#/15000LE,$20.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8106b6dd-ce1a-435a-8b63-78a7d57c8252,DOMANTAS SABONIS,"Dunk - Dec 26 2020, Base Set (Series 2), IND",Common,#/15000LE,$27.00
https://www.nbatopshot.com/listings/p2p/122b048d-585e-4c63-8275-c23949576fd6+372a5af0-d643-48fc-8844-e36bb08df489,BEN SIMMONS,"Layup - Jan 6 2021, Seeing Stars (Series 2), PHI",Common,#/10000LE,$199.00
https://www.nbatopshot.com/listings/p2p/122b048d-585e-4c63-8275-c23949576fd6+b46632ff-2de0-4a4e-bb7b-c0a76a20352f,DOMANTAS SABONIS,"Layup - Feb 3 2021, Seeing Stars (Series 2), IND",Common,#/10000LE,$179.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+ac9314ad-32af-4e83-899a-a347faa00385,HARRY GILES,"Assist - Mar 3 2020, Base Set (Series 1), SAC",Common,#/1000LE,"$1,275.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+64c5104d-9bac-4e88-8554-c78e5ff23c76,JAVALE MCGEE,"Block - Jan 15 2020, Base Set (Series 1), LAL",Common,#/3339LE,$169.00
https://www.nbatopshot.com/listings/p2p/f493db4a-a775-4d6e-be8a-56fae509a92d+8c43bcc7-cb48-4fab-96e6-a4f73ad3c966,NICKEIL ALEXANDER-WALKER,"Dunk - Feb 14 2021, Rising Stars (Series 2), NOP",Rare,#/2021LE,$480.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8598d54a-2c31-44f9-8e3e-7827482e5a57,JERAMI GRANT,"Dunk - Dec 29 2020, Base Set (Series 2), DET",Common,#/15000LE,$24.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+79988343-3301-41b2-8870-286ddc1ddad3,NEMANJA BJELICA,"3 Pointer - Dec 9 2019, Base Set (Series 1), SAC",Common,#/3999LE,$99.00
https://www.nbatopshot.com/listings/p2p/ad8e85a4-2240-4604-95f6-be826966d988+68fafbae-8b8c-4ad0-afae-eb8085bed271,ANTHONY DAVIS,"Dunk - Jan 7 2021, Cool Cats (Series 2), LAL",Common,#/7098+CC,$438.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+7ed01d5c-ed27-4b1c-a55b-706c5a07a6df,NIKOLA JOKIĆ,"Dunk - Dec 25 2020, Base Set (Series 2), DEN",Common,#/15000LE,$57.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+37fba682-33f9-4a38-8a42-5c99a88a822f,JAMES ENNIS III,"Layup - Feb 6 2021, Base Set (Series 2), ORL",Common,#/12000LE,$16.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+22b96d87-4878-42a7-a77b-46ca78e6d8b7,MIKE CONLEY,"Jump Shot - Jan 21 2021, Base Set (Series 2), UTA",Common,#/35000+CC,$7.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4c80600a-cf34-4764-b137-241aceb1cc5c,JAMAL MURRAY,"3 Pointer - Jan 7 2021, Base Set (Series 2), DEN",Common,#/15000LE,$40.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d099cb9b-2834-4751-80f0-3c5c27e8fb91,AL HORFORD,"Dunk - Dec 31 2020, Base Set (Series 2), OKC",Common,#/15000LE,$13.00
https://www.nbatopshot.com/listings/p2p/122b048d-585e-4c63-8275-c23949576fd6+d54193d1-e0ed-4217-b2d1-884406d78acf,JOEL EMBIID,"Dunk - Feb 9 2021, Seeing Stars (Series 2), PHI",Common,#/10000LE,$279.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+a13c0faf-5aeb-45b4-b6b8-f67c8d312639,DENNIS SMITH JR.,"Handles - Dec 5 2019, Base Set (Series 1), NYK",Common,#/2987LE,$120.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e97d8f79-a17a-4cef-858f-f481ace3830d,DAMIAN LILLARD,"Handles - Jan 11 2021, Base Set (Series 2), POR",Common,#/15000LE,$65.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2c978c17-6aed-4123-9d5a-59f715e80734,NICKEIL ALEXANDER-WALKER,"Layup - Jan 30 2021, Base Set (Series 2), NOP",Common,#/12000LE,$35.00
https://www.nbatopshot.com/listings/p2p/f493db4a-a775-4d6e-be8a-56fae509a92d+4f693e7b-29a3-4a36-ab56-94e157325726,LUGUENTZ DORT,"Steal - Feb 16 2021, Rising Stars (Series 2), OKC",Rare,#/2021LE,$590.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4a3afa7a-e4da-4472-b7d9-7863b28691cf,DE'ANDRE HUNTER,"Dunk - Jan 24 2021, Base Set (Series 2), ATL",Common,#/35000+CC,$9.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+770334d2-0397-43d0-8ca8-3fee16822821,JAYSON TATUM,"Jump Shot - Jan 3 2021, Base Set (Series 2), BOS",Common,#/15000LE,$53.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+c8ad129e-a803-4400-9025-2c4209bd2ed4,D'ANGELO RUSSELL,"Block - Feb 26 2020, Base Set (Series 1), MIN",Common,#/2879LE,$177.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a3f850fe-e3ae-4926-be7f-13ea8600b25b,CHRIS BOUCHER,"Block - Jan 8 2021, Base Set (Series 2), TOR",Common,#/12000LE,$48.00
https://www.nbatopshot.com/listings/p2p/ad8e85a4-2240-4604-95f6-be826966d988+00ce687f-6c1f-4aef-956a-6e9418680b2d,LUKA DONČIĆ,"Assist - Jan 4 2021, Cool Cats (Series 2), DAL",Common,#/3464LE,"$3,845.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+48dc126e-e8f9-47a1-978e-5e5a67fc9801,DWIGHT HOWARD,"Dunk - Jan 7 2021, Base Set (Series 2), PHI",Common,#/15000LE,$23.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+242b7935-2f5a-4876-8a59-7a78dc01f3f0,OBI TOPPIN,"3 Pointer - Dec 23 2020, Base Set (Series 2), NYK",Common,#/4000LE,$385.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8e6b8ea8-b1b0-4ac1-ba99-d65b010a0242,JAYLEN BROWN,"Dunk - Feb 2 2021, Base Set (Series 2), BOS",Common,#/35000+CC,$12.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+665f3606-df2d-4a6e-85c1-17b74f02228e,CHRISTIAN WOOD,"Dunk - Dec 28 2020, Base Set (Series 2), HOU",Common,#/15000LE,$34.00
